0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             03092012                                                                                                                                                                                                                                                                                                                                                                                      000001
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000106353700188771-2-2  29082012016CURITIBA            3009201200000000019698677CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000206353718188354-2-2  29082012016CURITIBA            3009201200000000017135932CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000306353726188011-2-2  29082012016CURITIBA            3009201200000000011199712CC                                                                                                                                                                                                                                                                                                                                                                                                         000004
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000406353734188352-2-2  29082012016CURITIBA            3009201200000000031709314CC                                                                                                                                                                                                                                                                                                                                                                                                         000005
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000506353769188612-2-2  29082012016CURITIBA            3009201200000000025707156CC                                                                                                                                                                                                                                                                                                                                                                                                         000006
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000606353807189295-2-2  29082012016CURITIBA            3009201200000000020242440CC                                                                                                                                                                                                                                                                                                                                                                                                         000007
1021420930887COBR_CAUC_BIC  DEDINI S/A INDUSTRIAS DE BASE           075717355001177USINA DE ACUCAR SANTA TEREZINHA LT      AV MARCELO MESSIAS BUSIQUIA 847 PQ INDUSMARINGA                                 87065006PR375970000706353815188231-2-2  29082012016CURITIBA            3009201200000000017066416CC                                                                                                                                                                                                                                                                                                                                                                                                         000008
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   005169759000116TUDOBOM COMERCIAL LTDA                  AVENIDA JOSE FRANCISCO DOMINGOS 359     CORONEL FABRICI                         35170348MG3762700001050184020009259001  09082012800UNIBANCO S/A        1109201200000000006321047CC                                                                                                                                                                                                                                                                                                                                                                                                         000019
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   005169759000116TUDOBOM COMERCIAL LTDA                  AVENIDA JOSE FRANCISCO DOMINGOS 359     CORONEL FABRICI                         35170348MG3762700002050220010009314101  15082012900UNIBANCO S/A        1809201200000000008607186CC                                                                                                                                                                                                                                                                                                                                                                                                         000020
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   005169759000116TUDOBOM COMERCIAL LTDA                  AVENIDA JOSE FRANCISCO DOMINGOS 359     CORONEL FABRICI                         35170348MG3762700003050229060009316001  15082012900UNIBANCO S/A        1809201200000000003673504CC                                                                                                                                                                                                                                                                                                                                                                                                         000021
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   007427095000173M H M DISTRIBUIDORA DE ALIMENTOS L      RUA OLIMPIA DE CAMPOS 88                SAO GONCALO                             24756660RJ3762800001050277030021186201  23082012014RIO DE JANEIRO      2009201200000000004900500CC                                                                                                                                                                                                                                                                                                                                                                                                         000022
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   007796433000144POLI VITA DISTRIBUIDORA DE GENEROS      RUA JOAQUIM PALHARES 669                RIO DE JANEIRO                          20260080RJ3762900001050240620021147101  18082012014RIO DE JANEIRO      1709201200000000005180000CC                                                                                                                                                                                                                                                                                                                                                                                                         000023
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   082956160000173SUPERMERCADOS IMPERATRIZ LTDA           RODOVIA BR 282 S/N KM 18                PALHOCA                                 88135530SC3763000001050169730035686301  07082012900BRADESCO S/A        0409201200000000001728981CC                                                                                                                                                                                                                                                                                                                                                                                                         000024
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   082956160000173SUPERMERCADOS IMPERATRIZ LTDA           RODOVIA BR 282 S/N KM 18                PALHOCA                                 88135530SC3763000002050277200036155001  23082012900BRADESCO S/A        2009201200000000000880650CC                                                                                                                                                                                                                                                                                                                                                                                                         000025
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   082956160000173SUPERMERCADOS IMPERATRIZ LTDA           RODOVIA BR 282 S/N KM 18                PALHOCA                                 88135530SC3763000003050277380036155101  23082012900BRADESCO S/A        2009201200000000002682477CC                                                                                                                                                                                                                                                                                                                                                                                                         000026
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   000768165000108HOME BREAD INDUSTRIA E COMERCIO LT      ESTRADA DO TINDIBA 316                  RIO DE JANEIRO                          22740360RJ3763100001050308010021199201  25082012014RIO DE JANEIRO      2409201200000000005365800CC                                                                                                                                                                                                                                                                                                                                                                                                         000027
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   005207680000485ATENDE DISTRIBUIDORA S/A                AV JOSE CARLOS COSTA 688 KM 18 BR 040   RIBEIRAO DAS NE                         33822722MG3763200001050184290009259501  09082012800UNIBANCO S/A        1309201200000000006232756CC                                                                                                                                                                                                                                                                                                                                                                                                         000028
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   010317498000174GOLDEN FRIGO COMERCIO E REPRESENTA      RUA MARIA GONZAGA 460                   SAO JOAO DE MER                         25535482RJ3763300001050390780021237301  30082012014RIO DE JANEIRO      2709201200000000006360000CC                                                                                                                                                                                                                                                                                                                                                                                                         000029
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   001333984000195SEGALAS ALIMENTOS LTDA                  ROD BR 470 NR 4292                      BLUMENAU                                89070200SC3763400001050183720021099201  09082012032BLUMENAU            1009201200000000007335900CC                                                                                                                                                                                                                                                                                                                                                                                                         000030
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   010915021000190TOP ALTO PARTICIPACOES E COMERCIO       RUA SAO JOAO CAXIAS 99                  SAO JOAO DE MER                         25515420RJ3763500001050183640021098901  09082012014RIO DE JANEIRO      1009201200000000007516800CC                                                                                                                                                                                                                                                                                                                                                                                                         000031
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   061270393000148FRIGORIFICO MARBA LTDA                  AVENIDA CESAR MAGNANI 971               SAO BERNARDO DO                         09694000SP3763600001050183810000796001  09082012038ABC                 1309201200000000005760000CC                                                                                                                                                                                                                                                                                                                                                                                                         000032
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   061270393000148FRIGORIFICO MARBA LTDA                  AVENIDA CESAR MAGNANI 971               SAO BERNARDO DO                         09694000SP3763600002050390860021242101  31082012038ABC                 0410201200000000002295000CC                                                                                                                                                                                                                                                                                                                                                                                                         000033
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   002914460020267SEARA ALIMENTOS LTDA                    ESTRADA VENANCIO PEREIRA VELOSO 1479    DUQUE DE CAXIAS                         24243620RJ3763700001050180460000792901  04082012014RIO DE JANEIRO      1009201200000000008064000CC                                                                                                                                                                                                                                                                                                                                                                                                         000034
1031421007850COBR_CAUC_COR  AGRICOLA JANDELLE S/A                   026036491000114CONGEBRAS ALIMENTOS LTDA                RODOVIA BR 040 S/N KM 516 SALA 101      RIBEIRAO DAS NE                         33822502MG3763800001050184110009259401  09082012800UNIBANCO S/A        1009201200000000008265346CC                                                                                                                                                                                                                                                                                                                                                                                                         000035
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   004737552000480MART MINAS DISTRIBUICAO LTDA            AVENIDA CRUZEIRO DO SUL 77              CONTAGEM                                32241310MG3763900001050178990009243601  07082012019BELO HORIZONTE      0409201200000000001900534CC                                                                                                                                                                                                                                                                                                                                                                                                         000036
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   004737552000480MART MINAS DISTRIBUICAO LTDA            AVENIDA CRUZEIRO DO SUL 77              CONTAGEM                                32241310MG3763900002050184450009260101  09082012019BELO HORIZONTE      0609201200000000003370226CC                                                                                                                                                                                                                                                                                                                                                                                                         000037
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   004737552000480MART MINAS DISTRIBUICAO LTDA            AVENIDA CRUZEIRO DO SUL 77              CONTAGEM                                32241310MG3763900003050392300009455301  30082012019BELO HORIZONTE      2709201200000000000731352CC                                                                                                                                                                                                                                                                                                                                                                                                         000038
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   004737552000480MART MINAS DISTRIBUICAO LTDA            AVENIDA CRUZEIRO DO SUL 77              CONTAGEM                                32241310MG3763900004050392480009455401  30082012019BELO HORIZONTE      2709201200000000000731352CC                                                                                                                                                                                                                                                                                                                                                                                                         000039
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   004737552000480MART MINAS DISTRIBUICAO LTDA            AVENIDA CRUZEIRO DO SUL 77              CONTAGEM                                32241310MG3763900005050392560009455501  30082012800BELO HORIZONTE      2709201200000000000388418CC                                                                                                                                                                                                                                                                                                                                                                                                         000040
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   004737552000480MART MINAS DISTRIBUICAO LTDA            AVENIDA CRUZEIRO DO SUL 77              CONTAGEM                                32241310MG3763900006050392640009455601  30082012800BELO HORIZONTE      2709201200000000001074426CC                                                                                                                                                                                                                                                                                                                                                                                                         000041
1031421007850COBR_CAUC_BIC  AGRICOLA JANDELLE S/A                   004737552000480MART MINAS DISTRIBUICAO LTDA            AVENIDA CRUZEIRO DO SUL 77              CONTAGEM                                32241310MG3763900007050392720009455701  30082012800BELO HORIZONTE      2709201200000000000552710CC                                                                                                                                                                                                                                                                                                                                                                                                         000042
9000021                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000043
