0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             05062012                                                                                                                                                                                                                                                                                                                                                                                      000001
1028421002719COBR_CAUC_BIC  SIPCAM UPL BRASIL S/A                   005772606000169ROTAM DO BRASIL AGROQ. E PROD. AGR      RUA SIQUEIRA CAMPOS, 233                CAMPINAS                                13106006SP3575700001027735840001113901  28052012021CAMPINAS            2706201200000000014272800CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     077911261000198INDUSTRIA DE COMPENSADOS GUARARAPE      RUA ALCINDA SANTOS ARAUJO,411           PALMAS                                  85555000PR35785000040341946999667       23052012800UNIBANCO S/A        2206201200000000000216000CC                                                                                                                                                                                                                                                                                                                                                                                                         000029
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     043443043000154METSO PAPER SOUTH AMERICA LTDA          RUA PEDRO DE ALCANTARA MEIRA,1301       ARAUCARIA                               83704530PR35786000010340621999423       14052012016CURITIBA            1306201200000000001222200CC                                                                                                                                                                                                                                                                                                                                                                                                         000030
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     043443043000154METSO PAPER SOUTH AMERICA LTDA          RUA PEDRO DE ALCANTARA MEIRA,1301       ARAUCARIA                               83704530PR35786000020341941899688       23052012016CURITIBA            2206201200000000000245699CC                                                                                                                                                                                                                                                                                                                                                                                                         000031
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     004703272000109GRANFINALE SISTEMA AGRICOLAS LTDA       RUA MARECHAL DEODORO,150                CASTRO                                  84172540PR35787000010341936199696       24052012016CURITIBA            2306201200000000001499396CC                                                                                                                                                                                                                                                                                                                                                                                                         000032
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     045989050001404RIGESA CELULOSE PAPEL E EMBALAGENS      AVENIDA RIGESA,2400                     TRES BARRAS                             89490000SC35788000010341920599675       23052012800UNIBANCO S/A        2706201200000000002193570CC                                                                                                                                                                                                                                                                                                                                                                                                         000033
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     076630573000241CIA DE CIMENTOS ITAMBE                  ROD BR 277,125-KM 134                   BALSA NOVA                              83600970PR35789000010341506499609       21052012016CURITIBA            1806201200000000001023000CC                                                                                                                                                                                                                                                                                                                                                                                                         000034
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     076630573000241CIA DE CIMENTOS ITAMBE                  ROD BR 277,125-KM 134                   BALSA NOVA                              83600970PR35789000020341915999703       24052012016CURITIBA            2306201200000000001170470CC                                                                                                                                                                                                                                                                                                                                                                                                         000035
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     076630573000241CIA DE CIMENTOS ITAMBE                  ROD BR 277,125-KM 134                   BALSA NOVA                              83600970PR35789000030341914199704       24052012016CURITIBA            2106201200000000000275900CC                                                                                                                                                                                                                                                                                                                                                                                                         000036
1016421022241COBR_CAUC_COR  STOCKFER COM DIST DE FERRO ACO LTDA     010277281000188CONSORCIO RIO PARAGUACU                 RUA VILA DE SAO ROQUE DO PARAGUA,0      MARAGOGIPE                              44420000BA35790000010341922199640       22052012900BRADESCO S/A        2106201200000000002480801CC                                                                                                                                                                                                                                                                                                                                                                                                         000037
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     076024876000130EMPO CURITIBANO DE SANEAMENTO CONS      RUA MATEUS LEME, ,2511                  CURITIBA                                80530010PR35791000010339810199257       07052012016CURITIBA            1106201200000000000983178CC                                                                                                                                                                                                                                                                                                                                                                                                         000038
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     076024876000130EMPO CURITIBANO DE SANEAMENTO CONS      RUA MATEUS LEME, ,2511                  CURITIBA                                80530010PR35791000020339811999257/2     07052012016CURITIBA            2606201200000000000983178CC                                                                                                                                                                                                                                                                                                                                                                                                         000039
1016421022241COBR_CAUC_BIC  STOCKFER COM DIST DE FERRO ACO LTDA     076024876000130EMPO CURITIBANO DE SANEAMENTO CONS      RUA MATEUS LEME, ,2511                  CURITIBA                                80530010PR35791000030339812799257/3     07052012016CURITIBA            1107201200000000000983473CC                                                                                                                                                                                                                                                                                                                                                                                                         000040
9000019                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000041
