0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             19042012                                                                                                                                                                                                                                                                                                                                                                                      000001
1032420932087COBR_CAUC_BIC  TEXTIL RENAUXVIEW S/A                   005502202000236IBERPUNTO IND TEXTIL SA                 R FREDERICO JENSEN 483                  BLUMENAU                                89066300SC34884000010046662159175/A     17042012032BLUMENAU            1506201200000000013344660CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1021420930887COBR_CAUC_COR  DEDINI S/A INDUSTRIAS DE BASE           048295562001450USINA ALTO ALEGRE S A - ACUCAR E A      RUA JOSE LEITE, 40 JD BONGIOVANI BR     PRESIDENTE PRUD                         19050910SP34885000010631624378-2-2      17042012900BRADESCO S/A        0305201200000000013429435CC                                                                                                                                                                                                                                                                                                                                                                                                         000003
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34903000010112799224207       01012012003CENTRO              2505201200000000002248200CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34903000020112798424261       01012012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34903000030112808524263       01012012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000016
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34903000040112796824264       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000017
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34903000050112795024266       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000018
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34903000060112794124267       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000019
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34903000070112793324274       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000020
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34903000080112792524275       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000021
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34903000090112791724277       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000022
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34903000100112790924282       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000023
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34904000010113059422950       09032012800UNIBANCO S/A        1205201200000000004674600CC                                                                                                                                                                                                                                                                                                                                                                                                         000024
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34904000020113058622951       09032012800UNIBANCO S/A        1205201200000000004674600CC                                                                                                                                                                                                                                                                                                                                                                                                         000025
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34904000030113056022952       09032012800UNIBANCO S/A        1205201200000000004674600CC                                                                                                                                                                                                                                                                                                                                                                                                         000026
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34904000040113055122965       09032012800UNIBANCO S/A        1205201200000000001806336CC                                                                                                                                                                                                                                                                                                                                                                                                         000027
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34904000050113054322967       09032012800UNIBANCO S/A        1205201200000000001806336CC                                                                                                                                                                                                                                                                                                                                                                                                         000028
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34904000060113057822994       09032012800UNIBANCO S/A        1205201200000000002423736CC                                                                                                                                                                                                                                                                                                                                                                                                         000029
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34904000070113053524683       09032012800UNIBANCO S/A        1205201200000000004498200CC                                                                                                                                                                                                                                                                                                                                                                                                         000030
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      002525003000174CENTER CAR AUTOMOVEIS LTDA - EPP        ROD JUSCELINO K. DE OLIVE,0-KM 106      POUSO ALEGRE                            37550000SP34905000010112803424168       01122011900BRADESCO S/A        1505201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000031
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      002525003000174CENTER CAR AUTOMOVEIS LTDA - EPP        ROD JUSCELINO K. DE OLIVE,0-KM 106      POUSO ALEGRE                            37550000SP34905000020112802624169       01112011900BRADESCO S/A        1505201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000032
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      002525003000174CENTER CAR AUTOMOVEIS LTDA - EPP        ROD JUSCELINO K. DE OLIVE,0-KM 106      POUSO ALEGRE                            37550000SP34905000030112801824170       01122011900BRADESCO S/A        1505201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000033
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      002525003000174CENTER CAR AUTOMOVEIS LTDA - EPP        ROD JUSCELINO K. DE OLIVE,0-KM 106      POUSO ALEGRE                            37550000SP34905000040112800024171       01122011900BRADESCO S/A        1505201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000034
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      012194152000151AZIVEL COMERCIO DE VEICULOS LTDA        AV. FERNANDO MACHADO,1556               CHAPECO                                 89802110SC34906000010112787923777       09032012800UNIBANCO S/A        0105201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000035
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      012194152000151AZIVEL COMERCIO DE VEICULOS LTDA        AV. FERNANDO MACHADO,1556               CHAPECO                                 89802110SC34906000020112788723779       09032012800UNIBANCO S/A        0105201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000036
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      012194152000151AZIVEL COMERCIO DE VEICULOS LTDA        AV. FERNANDO MACHADO,1556               CHAPECO                                 89802110SC34906000030112789523782       09032012800UNIBANCO S/A        0105201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000037
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000860930000115GR COMERCIO E REPRESENTACOES DE VE      AV.CENTENARIO,5000-BAIRRO PROSPERA      CRICIUMA                                88815020SC34907000010105498725405       27122011800UNIBANCO S/A        2504201200000000001910971CC                                                                                                                                                                                                                                                                                                                                                                                                         000038
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      001913794000147NCA COMERCIO DE VEICULOS LTDA           AV. GUARULHOS,1971                      GUARULHOS                               07025000SP34908000010113777726547       14032012037GUARULHOS           2804201200000000005535000CC                                                                                                                                                                                                                                                                                                                                                                                                         000039
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      011733838000100C.R. GIMENEZ VEICULOS LTDA -EPP         AV. BRASILIA,2045                       ARACATUBA                               16018000SP34909000010113776926525       14032012800UNIBANCO S/A        1306201200000000005580000CC                                                                                                                                                                                                                                                                                                                                                                                                         000040
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      008752869000102FREE LANCE AUTO CENTER LTDA             QUADRA 812 SUL ALAMED,S/N-LOTE 22A      PALMAS                                  77023120TO34910000010105493624583       16122011800UNIBANCO S/A        2604201200000000002248200CC                                                                                                                                                                                                                                                                                                                                                                                                         000041
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      008752869000102FREE LANCE AUTO CENTER LTDA             QUADRA 812 SUL ALAMED,S/N-LOTE 22A      PALMAS                                  77023120TO34910000020105494424611       16122011800UNIBANCO S/A        2604201200000000002248200CC                                                                                                                                                                                                                                                                                                                                                                                                         000042
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      008752869000102FREE LANCE AUTO CENTER LTDA             QUADRA 812 SUL ALAMED,S/N-LOTE 22A      PALMAS                                  77023120TO34910000030105495224631       16122011800UNIBANCO S/A        2604201200000000002248200CC                                                                                                                                                                                                                                                                                                                                                                                                         000043
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      012194152000151AZIVEL COMERCIO DE VEICULOS LTDA        AV. FERNANDO MACHADO,1556               CHAPECO                                 89802110SC34911000010112787923777       09032012800UNIBANCO S/A        0105201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000044
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      012194152000151AZIVEL COMERCIO DE VEICULOS LTDA        AV. FERNANDO MACHADO,1556               CHAPECO                                 89802110SC34911000020112788723779       09032012800UNIBANCO S/A        0105201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000045
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      012194152000151AZIVEL COMERCIO DE VEICULOS LTDA        AV. FERNANDO MACHADO,1556               CHAPECO                                 89802110SC34911000030112789523782       09032012800UNIBANCO S/A        0105201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000046
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      002525003000174CENTER CAR AUTOMOVEIS LTDA - EPP        ROD JUSCELINO K. DE OLIVE,0-KM 106      POUSO ALEGRE                            37550000SP34912000010112800024171       01122011900BRADESCO S/A        1505201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000047
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      002525003000174CENTER CAR AUTOMOVEIS LTDA - EPP        ROD JUSCELINO K. DE OLIVE,0-KM 106      POUSO ALEGRE                            37550000SP34912000020112801824170       01122011900BRADESCO S/A        1505201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000048
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      002525003000174CENTER CAR AUTOMOVEIS LTDA - EPP        ROD JUSCELINO K. DE OLIVE,0-KM 106      POUSO ALEGRE                            37550000SP34912000030112802624169       01112011900BRADESCO S/A        1505201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000049
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      002525003000174CENTER CAR AUTOMOVEIS LTDA - EPP        ROD JUSCELINO K. DE OLIVE,0-KM 106      POUSO ALEGRE                            37550000SP34912000040112803424168       01122011900BRADESCO S/A        1505201200000000004860000CC                                                                                                                                                                                                                                                                                                                                                                                                         000050
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34913000010113053524683       09032012800UNIBANCO S/A        1205201200000000004498200CC                                                                                                                                                                                                                                                                                                                                                                                                         000051
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34913000020113054322967       09032012800UNIBANCO S/A        1205201200000000001806336CC                                                                                                                                                                                                                                                                                                                                                                                                         000052
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34913000030113055122965       09032012800UNIBANCO S/A        1205201200000000001806336CC                                                                                                                                                                                                                                                                                                                                                                                                         000053
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34913000040113056022952       09032012800UNIBANCO S/A        1205201200000000004674600CC                                                                                                                                                                                                                                                                                                                                                                                                         000054
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34913000050113057822994       09032012800UNIBANCO S/A        1205201200000000002423736CC                                                                                                                                                                                                                                                                                                                                                                                                         000055
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34913000060113058622951       09032012800UNIBANCO S/A        1205201200000000004674600CC                                                                                                                                                                                                                                                                                                                                                                                                         000056
1007421045766COBR_CAUC_COR  EVER ELETRIC A IND E COM VEIC LTDA      000475208000167PROESTE OURINHOS COM. DE VEICULOS       AV. LUIZ S. RODRIGUES,2751              OURINHOS                                19908095SP34913000070113059422950       09032012800UNIBANCO S/A        1205201200000000004674600CC                                                                                                                                                                                                                                                                                                                                                                                                         000057
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34914000010112790924282       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000058
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34914000020112791724277       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000059
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34914000030112792524275       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000060
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34914000040112793324274       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000061
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34914000050112794124267       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000062
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34914000060112795024266       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000063
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34914000070112796824264       09032012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000064
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34914000080112798424261       01012012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000065
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34914000090112799224207       01012012003CENTRO              2505201200000000002248200CC                                                                                                                                                                                                                                                                                                                                                                                                         000066
1007421045766COBR_CAUC_BIC  EVER ELETRIC A IND E COM VEIC LTDA      013641886000102JOY COMERCIO DE AUTOMOVEIS LTDA         RUA SAO GABRIEL,108                     FORTALEZA                               60135450CE34914000100112808524263       01012012003CENTRO              2504201200000000004498199CC                                                                                                                                                                                                                                                                                                                                                                                                         000067
9000022                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000068
