0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             11072013                                                                                                                                                                                                                                                                                                                                                                                      000001
1010421024410COBR_CAUC_COR  ARARIPE TEXTIL S/A ARTESA               000490926000102JO LEVER CONFECCOES LTDA                RUA FRANCISCO STINGHER,149              JARAGUA DO SUL                          89260010SC4303000001042196453563-C      31052013900BRADESCO S/A        1908201300000000002200624CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       013587119000154VERUSSIA CARLA R DE FARIAS ME           AV DR LUIZ ANTONIO,7339                 PARNAMIRIM                              59155001RN4302100002042175297128-C      07052013044NATAL               0309201300000000000334474CC                                                                                                                                                                                                                                                                                                                                                                                                         000027
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       017465465000110LANUSA E SOUZA COM.DE TECIDOS LTDA      AVENIDA VERA CRUZ,536                   CARUARU                                 55008000PE4302000001042186907109-B      16052013900BRADESCO S/A        2507201300000000000658240CC                                                                                                                                                                                                                                                                                                                                                                                                         000028
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       013593627000145G FAUSTINA DE ALCANTARA ME              R CAP PEDROSA,551                       SANTA CRUZ DO C                         55190000PE4301900001042167197073-C      25042013900BRADESCO S/A        2407201300000000000428882CC                                                                                                                                                                                                                                                                                                                                                                                                         000029
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       002904202000193J R RODRIGUES DA SILVA ME               R JOSE EPIFANIO DE ARAUJO PEREIR,1      LIMOEIRO                                55700000PE4301800001042195307203-B      31052013900BRADESCO S/A        1207201300000000000099327CC                                                                                                                                                                                                                                                                                                                                                                                                         000030
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       002904202000193J R RODRIGUES DA SILVA ME               R JOSE EPIFANIO DE ARAUJO PEREIR,1      LIMOEIRO                                55700000PE4301800002042195217203-C      31052013900BRADESCO S/A        2907201300000000000099327CC                                                                                                                                                                                                                                                                                                                                                                                                         000031
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       002904202000193J R RODRIGUES DA SILVA ME               R JOSE EPIFANIO DE ARAUJO PEREIR,1      LIMOEIRO                                55700000PE4301800003042195137203-D      31052013900BRADESCO S/A        1208201300000000000099327CC                                                                                                                                                                                                                                                                                                                                                                                                         000032
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       002904202000193J R RODRIGUES DA SILVA ME               R JOSE EPIFANIO DE ARAUJO PEREIR,1      LIMOEIRO                                55700000PE4301800004042195057203-E      31052013900BRADESCO S/A        2608201300000000000099326CC                                                                                                                                                                                                                                                                                                                                                                                                         000033
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       035711241000123DAM CONFECCOES INDUSTRIA E COMERCI      AV. SAO PAULO,974                       RECIFE                                  50910250PE4301700001042194837207-B      31052013010RECIFE              2907201300000000000186265CC                                                                                                                                                                                                                                                                                                                                                                                                         000034
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       035711241000123DAM CONFECCOES INDUSTRIA E COMERCI      AV. SAO PAULO,974                       RECIFE                                  50910250PE4301700002042194757207-C      31052013010RECIFE              2708201300000000000186264CC                                                                                                                                                                                                                                                                                                                                                                                                         000035
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       005757693000185CREUSA BARBOSA DA SILVA ME              RUA SENADOR QUINTINO,4565               FEIRA D.SANTANA                         44094220BA4301600001042190097178-B      21052013900BRADESCO S/A        1907201300000000000172222CC                                                                                                                                                                                                                                                                                                                                                                                                         000036
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       005757693000185CREUSA BARBOSA DA SILVA ME              RUA SENADOR QUINTINO,4565               FEIRA D.SANTANA                         44094220BA4301600002042190177178-C      21052013900BRADESCO S/A        1908201300000000000172223CC                                                                                                                                                                                                                                                                                                                                                                                                         000037
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       004896900000110CRUZEIRO DO SUL COMERCIO LTDA           RUA DAS CALCADAS,232                    RECIFE                                  50020290PE4301500001042167517070-C      25042013010RECIFE              2407201300000000000104930CC                                                                                                                                                                                                                                                                                                                                                                                                         000038
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       004896900000110CRUZEIRO DO SUL COMERCIO LTDA           RUA DAS CALCADAS,232                    RECIFE                                  50020290PE4301500002042167437070-D      25042013010RECIFE              2308201300000000000104930CC                                                                                                                                                                                                                                                                                                                                                                                                         000039
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       004896900000110CRUZEIRO DO SUL COMERCIO LTDA           RUA DAS CALCADAS,232                    RECIFE                                  50020290PE4301500003042189757177-B      21052013010RECIFE              1907201300000000000061326CC                                                                                                                                                                                                                                                                                                                                                                                                         000040
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       004896900000110CRUZEIRO DO SUL COMERCIO LTDA           RUA DAS CALCADAS,232                    RECIFE                                  50020290PE4301500004042189837177-C      21052013010RECIFE              1908201300000000000061326CC                                                                                                                                                                                                                                                                                                                                                                                                         000041
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       008157292000182JACKSON MURIER PACIFICO VIEIRA ME       RUA JOAO FREIRAS REZENDE,750            PIRIPIRI                                64260000PI4301400001042145206914-D      22032013900BRADESCO S/A        1907201300000000000174522CC                                                                                                                                                                                                                                                                                                                                                                                                         000042
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       007468274000159CARMEN LUCIA DOS SANTOS ME              PASSAGEM ALBERTO ENGELHARD,343          BELEM                                   66040520PA4301300001042187037156-C      16052013050BELEM               1208201300000000000169178CC                                                                                                                                                                                                                                                                                                                                                                                                         000043
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       007421872000172LUCIANA DA SILVA ELIOTERIO VILARIN      RUA JOAO CABRAL,1031                    TERESINA                                64000030PI4301200001042166897067-C      25042013041TERESINA            2407201300000000000159797CC                                                                                                                                                                                                                                                                                                                                                                                                         000044
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       002254036000127JOSE AUGUSTO CARLOS DE ALMEIDA ME       RUA MOSSORO,422                         NATAL                                   59020090RN4301100001042175457132-C      08052013044NATAL               0508201300000000000129711CC                                                                                                                                                                                                                                                                                                                                                                                                         000045
1010421024879COBR_CAUC_COR  INDUSTRIA DE MALHAS JABOATAO LTDA       001923897000198ARARIPE MALHAS                          R JOAQUIM TAVORA ,329                   CARUARU                                 55006120PE4301000001042195817219-B      31052013900BRADESCO S/A        1507201300000000000100826CC                                                                                                                                                                                                                                                                                                                                                                                                         000046
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       002046482000146 COMERCIO E CONFECCOES SANTA HELEN      RUA FRANKLIN TAVORA ,322-/326           RECIFE                                  52040050PE4300900001042158527019-B      16042013010RECIFE              1507201300000000000359978CC                                                                                                                                                                                                                                                                                                                                                                                                         000047
1010421024879COBR_CAUC_BIC  INDUSTRIA DE MALHAS JABOATAO LTDA       002046482000146 COMERCIO E CONFECCOES SANTA HELEN      RUA FRANKLIN TAVORA ,322-/326           RECIFE                                  52040050PE4300900002042168167068-B      25042013010RECIFE              2407201300000000000318615CC                                                                                                                                                                                                                                                                                                                                                                                                         000048
9000028                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000049
