0REMESSANOTIFICACAO ELETRONICA        99999999999999BICBANCO                                AV. PAULISTA                            1048      12.ANDAR  BELA VISTA                    SAO PAULO                     01310100SP1121739360CORTINHAL                               COORDENADOR                             27052014                                                                                                                                                                                                                                                                                                                                                                                      000001
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       007209331000185REGINA AGROINDUSTRIAL S/A               ESTRADA DO AQUIRAZ,  801                FORTALEZA                               60840970CE4767900001001517980050309     24052014900BRADESCO S/A        2106201400000000013188600CC                                                                                                                                                                                                                                                                                                                                                                                                         000002
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     010877219000127EXITO SERVICOS FLORESTAIS               R BENJAMIN CONSTANT,334                 LAGES                                   88501110SC4769500006027726719423H       27022014700BANCO REAL- ABN AMRO1011201400000000002645000CC                                                                                                                                                                                                                                                                                                                                                                                                         000013
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     000063179245115REGILEIDE DE MORAES LEITE               AV BANDEIRANTES,49                      NIQUELANDIA                             76420000GO4769600001027727788702D       07022014700BANCO REAL- ABN AMRO1006201400000000002270803CC                                                                                                                                                                                                                                                                                                                                                                                                         000014
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     000063179245115REGILEIDE DE MORAES LEITE               AV BANDEIRANTES,49                      NIQUELANDIA                             76420000GO4769600002027727868702E       07022014700BANCO REAL- ABN AMRO1007201400000000002270803CC                                                                                                                                                                                                                                                                                                                                                                                                         000015
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     000063179245115REGILEIDE DE MORAES LEITE               AV BANDEIRANTES,49                      NIQUELANDIA                             76420000GO4769600003027727948702F       07022014700BANCO REAL- ABN AMRO1008201400000000002270803CC                                                                                                                                                                                                                                                                                                                                                                                                         000016
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     000063179245115REGILEIDE DE MORAES LEITE               AV BANDEIRANTES,49                      NIQUELANDIA                             76420000GO4769600004027728088702G       07022014700BANCO REAL- ABN AMRO1009201400000000002270803CC                                                                                                                                                                                                                                                                                                                                                                                                         000017
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     000063179245115REGILEIDE DE MORAES LEITE               AV BANDEIRANTES,49                      NIQUELANDIA                             76420000GO4769600005027728168702H       07022014700BANCO REAL- ABN AMRO1010201400000000002270803CC                                                                                                                                                                                                                                                                                                                                                                                                         000018
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     000063179245115REGILEIDE DE MORAES LEITE               AV BANDEIRANTES,49                      NIQUELANDIA                             76420000GO4769600006027728248702I       07022014700BANCO REAL- ABN AMRO1011201400000000002270803CC                                                                                                                                                                                                                                                                                                                                                                                                         000019
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     000063179245115REGILEIDE DE MORAES LEITE               AV BANDEIRANTES,49                      NIQUELANDIA                             76420000GO4769600007027728328702J       07022014700BANCO REAL- ABN AMRO1012201400000000002270803CC                                                                                                                                                                                                                                                                                                                                                                                                         000020
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     000063179245115REGILEIDE DE MORAES LEITE               AV BANDEIRANTES,49                      NIQUELANDIA                             76420000GO4769600008027728418702K       07022014700BANCO REAL- ABN AMRO1001201500000000002270803CC                                                                                                                                                                                                                                                                                                                                                                                                         000021
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     000063179245115REGILEIDE DE MORAES LEITE               AV BANDEIRANTES,49                      NIQUELANDIA                             76420000GO4769600009027723288702L       07022014700BANCO REAL- ABN AMRO1002201500000000002270803CC                                                                                                                                                                                                                                                                                                                                                                                                         000022
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     000063179245115REGILEIDE DE MORAES LEITE               AV BANDEIRANTES,49                      NIQUELANDIA                             76420000GO4769600010027727518702M       07022014700BANCO REAL- ABN AMRO1003201500000000002270803CC                                                                                                                                                                                                                                                                                                                                                                                                         000023
1007421061990COBR_CAUC_COR  BRASIL MAQUINAS E EQUIP PESADOS S/A     000063179245115REGILEIDE DE MORAES LEITE               AV BANDEIRANTES,49                      NIQUELANDIA                             76420000GO4769600011027727438702N       07022014700BANCO REAL- ABN AMRO1004201500000000002270803CC                                                                                                                                                                                                                                                                                                                                                                                                         000024
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         012127886000118F ANDREIS NETO                          EST ICA POC,0-S/N                       ALTO PARAISO                            87528000PR47697000010288640410375B      28032014016CURITIBA            3005201400000000003000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000025
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         012127886000118F ANDREIS NETO                          EST ICA POC,0-S/N                       ALTO PARAISO                            87528000PR47697000020288641210375C      28032014016CURITIBA            3006201400000000003000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000026
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         012127886000118F ANDREIS NETO                          EST ICA POC,0-S/N                       ALTO PARAISO                            87528000PR47697000030288657910375D      28032014016CURITIBA            3007201400000000003000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000027
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         012127886000118F ANDREIS NETO                          EST ICA POC,0-S/N                       ALTO PARAISO                            87528000PR47697000040288658710375E      28032014016CURITIBA            3008201400000000003000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000028
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         012127886000118F ANDREIS NETO                          EST ICA POC,0-S/N                       ALTO PARAISO                            87528000PR47697000050288659510375F      28032014016CURITIBA            3009201400000000003000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000029
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         012127886000118F ANDREIS NETO                          EST ICA POC,0-S/N                       ALTO PARAISO                            87528000PR47697000060288660910375G      28032014016CURITIBA            3010201400000000003000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000030
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         012127886000118F ANDREIS NETO                          EST ICA POC,0-S/N                       ALTO PARAISO                            87528000PR47697000070288661710375H      28032014016CURITIBA            3011201400000000003000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000031
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         012127886000118F ANDREIS NETO                          EST ICA POC,0-S/N                       ALTO PARAISO                            87528000PR47697000080288662510375I      28032014016CURITIBA            3012201400000000003000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000032
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         012127886000118F ANDREIS NETO                          EST ICA POC,0-S/N                       ALTO PARAISO                            87528000PR47697000090288663310375J      28032014016CURITIBA            3001201500000000003000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000033
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         000302168000151EROMAQ REPRESENTACOES LTDA - ME         R ESPIRITO SANTO,143-SALA 104           SERRA                                   29161123ES4769800001028863911097B       08042014700BANCO REAL- ABN AMRO0707201400000000009742931CC                                                                                                                                                                                                                                                                                                                                                                                                         000034
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         000302168000151EROMAQ REPRESENTACOES LTDA - ME         R ESPIRITO SANTO,143-SALA 104           SERRA                                   29161123ES476980000202886463879B        26032014700BANCO REAL- ABN AMRO2306201400000000005333300CC                                                                                                                                                                                                                                                                                                                                                                                                         000035
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         000302168000151EROMAQ REPRESENTACOES LTDA - ME         R ESPIRITO SANTO,143-SALA 104           SERRA                                   29161123ES476980000302886501879C        26032014700BANCO REAL- ABN AMRO2307201400000000005333300CC                                                                                                                                                                                                                                                                                                                                                                                                         000036
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         000302168000151EROMAQ REPRESENTACOES LTDA - ME         R ESPIRITO SANTO,143-SALA 104           SERRA                                   29161123ES476980000402886439880B        26032014700BANCO REAL- ABN AMRO2306201400000000006666600CC                                                                                                                                                                                                                                                                                                                                                                                                         000037
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         000302168000151EROMAQ REPRESENTACOES LTDA - ME         R ESPIRITO SANTO,143-SALA 104           SERRA                                   29161123ES476980000502886421880C        26032014700BANCO REAL- ABN AMRO2307201400000000006666600CC                                                                                                                                                                                                                                                                                                                                                                                                         000038
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         015783338000134S A L - MINERACAO LTDA                  FAZ BANANAL SN,0                        RUBELITA                                39565000MG47699000010288722210470B      31032014700BANCO REAL- ABN AMRO0506201400000000010000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000039
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         015783338000134S A L - MINERACAO LTDA                  FAZ BANANAL SN,0                        RUBELITA                                39565000MG47699000020288721410470C      31032014700BANCO REAL- ABN AMRO0507201400000000010000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000040
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         015783338000134S A L - MINERACAO LTDA                  FAZ BANANAL SN,0                        RUBELITA                                39565000MG47699000030288720610470D      31032014700BANCO REAL- ABN AMRO0508201400000000010000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000041
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         015783338000134S A L - MINERACAO LTDA                  FAZ BANANAL SN,0                        RUBELITA                                39565000MG47699000040288719210470E      31032014700BANCO REAL- ABN AMRO0509201400000000010000000CC                                                                                                                                                                                                                                                                                                                                                                                                         000042
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         007323388000100COINPA - CONSTRUTORA E                  LOT BR 230,11034-KM 12                  CABEDELO                                58310000PB47700000010288687110527B      01042014700BANCO REAL- ABN AMRO0506201400000000003412500CC                                                                                                                                                                                                                                                                                                                                                                                                         000043
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         007323388000100COINPA - CONSTRUTORA E                  LOT BR 230,11034-KM 12                  CABEDELO                                58310000PB47700000020288654410527C      01042014700BANCO REAL- ABN AMRO0507201400000000003412500CC                                                                                                                                                                                                                                                                                                                                                                                                         000044
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         007323388000100COINPA - CONSTRUTORA E                  LOT BR 230,11034-KM 12                  CABEDELO                                58310000PB47700000030288655210527D      01042014700BANCO REAL- ABN AMRO0508201400000000003412500CC                                                                                                                                                                                                                                                                                                                                                                                                         000045
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         096861075000136BARRA S CONSTRUCAO, PROJETOS E SER      EST DE PIRAJA,50                        SALVADOR                                41290000BA477010000102886536951B        31032014013SALVADOR            3005201400000000002588230CC                                                                                                                                                                                                                                                                                                                                                                                                         000046
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         096861075000136BARRA S CONSTRUCAO, PROJETOS E SER      EST DE PIRAJA,50                        SALVADOR                                41290000BA477010000202886901951C        31032014013SALVADOR            3006201400000000002588230CC                                                                                                                                                                                                                                                                                                                                                                                                         000047
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         096861075000136BARRA S CONSTRUCAO, PROJETOS E SER      EST DE PIRAJA,50                        SALVADOR                                41290000BA477010000302886919951D        31032014013SALVADOR            3007201400000000002588230CC                                                                                                                                                                                                                                                                                                                                                                                                         000048
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         096861075000136BARRA S CONSTRUCAO, PROJETOS E SER      EST DE PIRAJA,50                        SALVADOR                                41290000BA477010000402886927951E        31032014013SALVADOR            3008201400000000002588230CC                                                                                                                                                                                                                                                                                                                                                                                                         000049
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         096861075000136BARRA S CONSTRUCAO, PROJETOS E SER      EST DE PIRAJA,50                        SALVADOR                                41290000BA477010000502886935951F        31032014013SALVADOR            3009201400000000002588230CC                                                                                                                                                                                                                                                                                                                                                                                                         000050
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         009001380000153J. A. PITOL OBRAS TERRAPLENAGEM -       AV SERIEMA,2910-LOTE 10 QUADRAS         RONDONOPOLIS                            78750130MT47702000010288672257C         27032014700BANCO REAL- ABN AMRO3006201400000000001720833CC                                                                                                                                                                                                                                                                                                                                                                                                         000051
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         009001380000153J. A. PITOL OBRAS TERRAPLENAGEM -       AV SERIEMA,2910-LOTE 10 QUADRAS         RONDONOPOLIS                            78750130MT47702000020288673157D         27032014700BANCO REAL- ABN AMRO3007201400000000001720833CC                                                                                                                                                                                                                                                                                                                                                                                                         000052
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         009001380000153J. A. PITOL OBRAS TERRAPLENAGEM -       AV SERIEMA,2910-LOTE 10 QUADRAS         RONDONOPOLIS                            78750130MT47702000030288674957E         27032014700BANCO REAL- ABN AMRO3008201400000000001720833CC                                                                                                                                                                                                                                                                                                                                                                                                         000053
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         009001380000153J. A. PITOL OBRAS TERRAPLENAGEM -       AV SERIEMA,2910-LOTE 10 QUADRAS         RONDONOPOLIS                            78750130MT47702000040288675757F         27032014700BANCO REAL- ABN AMRO3009201400000000001720833CC                                                                                                                                                                                                                                                                                                                                                                                                         000054
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         009001380000153J. A. PITOL OBRAS TERRAPLENAGEM -       AV SERIEMA,2910-LOTE 10 QUADRAS         RONDONOPOLIS                            78750130MT47702000050288599857G         27032014700BANCO REAL- ABN AMRO3010201400000000001720833CC                                                                                                                                                                                                                                                                                                                                                                                                         000055
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         009001380000153J. A. PITOL OBRAS TERRAPLENAGEM -       AV SERIEMA,2910-LOTE 10 QUADRAS         RONDONOPOLIS                            78750130MT47702000060288600557H         27032014700BANCO REAL- ABN AMRO3011201400000000001720833CC                                                                                                                                                                                                                                                                                                                                                                                                         000056
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         009001380000153J. A. PITOL OBRAS TERRAPLENAGEM -       AV SERIEMA,2910-LOTE 10 QUADRAS         RONDONOPOLIS                            78750130MT47702000070288601357I         27032014700BANCO REAL- ABN AMRO3012201400000000001720833CC                                                                                                                                                                                                                                                                                                                                                                                                         000057
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         009001380000153J. A. PITOL OBRAS TERRAPLENAGEM -       AV SERIEMA,2910-LOTE 10 QUADRAS         RONDONOPOLIS                            78750130MT47702000080288602157J         27032014700BANCO REAL- ABN AMRO3001201500000000001720833CC                                                                                                                                                                                                                                                                                                                                                                                                         000058
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         009001380000153J. A. PITOL OBRAS TERRAPLENAGEM -       AV SERIEMA,2910-LOTE 10 QUADRAS         RONDONOPOLIS                            78750130MT47702000090288603057K         27032014700BANCO REAL- ABN AMRO2802201500000000001720833CC                                                                                                                                                                                                                                                                                                                                                                                                         000059
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         009001380000153J. A. PITOL OBRAS TERRAPLENAGEM -       AV SERIEMA,2910-LOTE 10 QUADRAS         RONDONOPOLIS                            78750130MT47702000100288620057L         27032014700BANCO REAL- ABN AMRO2803201500000000001720833CC                                                                                                                                                                                                                                                                                                                                                                                                         000060
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         016715547000103W. DOURADO SERVICOS E                   R NOSSA SENHORA DO BOM REMEDIO,575       ITAITUBA                               68180380PA4770300001028871849883F       17032014900BRADESCO S/A        0510201400000000002267790CC                                                                                                                                                                                                                                                                                                                                                                                                         000061
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         016715547000103W. DOURADO SERVICOS E                   R NOSSA SENHORA DO BOM REMEDIO,575       ITAITUBA                               68180380PA4770300002028871769883G       17032014900BRADESCO S/A        0511201400000000002267790CC                                                                                                                                                                                                                                                                                                                                                                                                         000062
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         016715547000103W. DOURADO SERVICOS E                   R NOSSA SENHORA DO BOM REMEDIO,575       ITAITUBA                               68180380PA4770300003028871689883H       17032014900BRADESCO S/A        0512201400000000002267790CC                                                                                                                                                                                                                                                                                                                                                                                                         000063
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         016715547000103W. DOURADO SERVICOS E                   R NOSSA SENHORA DO BOM REMEDIO,575       ITAITUBA                               68180380PA4770300004028871509883I       17032014900BRADESCO S/A        0501201500000000002267790CC                                                                                                                                                                                                                                                                                                                                                                                                         000064
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         016715547000103W. DOURADO SERVICOS E                   R NOSSA SENHORA DO BOM REMEDIO,575       ITAITUBA                               68180380PA4770300005028871419883J       17032014900BRADESCO S/A        0502201500000000002267790CC                                                                                                                                                                                                                                                                                                                                                                                                         000065
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         016715547000103W. DOURADO SERVICOS E                   R NOSSA SENHORA DO BOM REMEDIO,575       ITAITUBA                               68180380PA4770300006028871339883K       17032014900BRADESCO S/A        0503201500000000002267790CC                                                                                                                                                                                                                                                                                                                                                                                                         000066
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         016715547000103W. DOURADO SERVICOS E                   R NOSSA SENHORA DO BOM REMEDIO,575       ITAITUBA                               68180380PA4770300007028871259883L       17032014900BRADESCO S/A        0504201500000000002267790CC                                                                                                                                                                                                                                                                                                                                                                                                         000067
1007421076122COBR_CAUC_COR  BMC HYUNDAI S.A                         016715547000103W. DOURADO SERVICOS E                   R NOSSA SENHORA DO BOM REMEDIO,575       ITAITUBA                               68180380PA4770300008028869609883M       17032014900BRADESCO S/A        0505201500000000002267790CC                                                                                                                                                                                                                                                                                                                                                                                                         000068
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         014418703000149HORTIPLAN AGRICULTURA E TERRAPLANA      NUC NUCLEO RURAL TABATINGA CHA,107      BRASILIA                                73390100DF47704000010288591210468B      31032014009BRASILIA            3005201400000000002761574CC                                                                                                                                                                                                                                                                                                                                                                                                         000069
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         014418703000149HORTIPLAN AGRICULTURA E TERRAPLANA      NUC NUCLEO RURAL TABATINGA CHA,107      BRASILIA                                73390100DF47704000020288592110468C      31032014009BRASILIA            3006201400000000002761574CC                                                                                                                                                                                                                                                                                                                                                                                                         000070
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         014418703000149HORTIPLAN AGRICULTURA E TERRAPLANA      NUC NUCLEO RURAL TABATINGA CHA,107      BRASILIA                                73390100DF47704000030288593910468D      31032014009BRASILIA            3007201400000000002761574CC                                                                                                                                                                                                                                                                                                                                                                                                         000071
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         014418703000149HORTIPLAN AGRICULTURA E TERRAPLANA      NUC NUCLEO RURAL TABATINGA CHA,107      BRASILIA                                73390100DF47704000040288594710468E      31032014009BRASILIA            3008201400000000002761574CC                                                                                                                                                                                                                                                                                                                                                                                                         000072
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         014418703000149HORTIPLAN AGRICULTURA E TERRAPLANA      NUC NUCLEO RURAL TABATINGA CHA,107      BRASILIA                                73390100DF47704000050288595510468F      31032014009BRASILIA            3009201400000000002761574CC                                                                                                                                                                                                                                                                                                                                                                                                         000073
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         014418703000149HORTIPLAN AGRICULTURA E TERRAPLANA      NUC NUCLEO RURAL TABATINGA CHA,107      BRASILIA                                73390100DF47704000060288596310468G      31032014009BRASILIA            3010201400000000002761574CC                                                                                                                                                                                                                                                                                                                                                                                                         000074
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         014418703000149HORTIPLAN AGRICULTURA E TERRAPLANA      NUC NUCLEO RURAL TABATINGA CHA,107      BRASILIA                                73390100DF47704000070288597110468H      31032014009BRASILIA            3011201400000000002761574CC                                                                                                                                                                                                                                                                                                                                                                                                         000075
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         014418703000149HORTIPLAN AGRICULTURA E TERRAPLANA      NUC NUCLEO RURAL TABATINGA CHA,107      BRASILIA                                73390100DF47704000080288598010468I      31032014009BRASILIA            3012201400000000002761574CC                                                                                                                                                                                                                                                                                                                                                                                                         000076
1007421076122COBR_CAUC_BIC  BMC HYUNDAI S.A                         014418703000149HORTIPLAN AGRICULTURA E TERRAPLANA      NUC NUCLEO RURAL TABATINGA CHA,107      BRASILIA                                73390100DF47704000090288664110468J      31032014009BRASILIA            3001201500000000002761574CC                                                                                                                                                                                                                                                                                                                                                                                                         000077
9000015                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000078
